Name,Symbol,Y_start,Y_end,Elev,Lat,Lon
Weaverville,CWEA,1998,2005,2100,40.735,-122.94333333333334
Weed Airport,CWEE,1990,2022,2930,41.47888888888889,-122.4538888888889
Westwood,CWES,1990,2022,5800,40.306666666666665,-120.9
White Cloud,CWHC,1993,2022,4320,39.31666666666667,-120.8375
White Horse,CWHI,1995,1996,3400,39.516666666666666,-121.58333333333331
Whiskeytown HQ#2,CWHS,2010,2022,1360,40.61055555555556,-122.52722222222222
Whitmore,CWHT,1990,2022,2417,40.61944444444445,-121.89944444444446
Warner Mt - Portable,CWMT,1995,1995,-9999,-9999.0,-9999.0
Westside,CWSS,2004,2022,1291,41.223333333333336,-124.0525
Yolla Bolla,CYOL,1990,2022,6757,40.33833333333334,-123.065
Yurok,CYUR,2002,2022,495,41.28972222222222,-123.8575
Lake County,CLCR,2013,2021,1390,39.032222222222224,-122.92222222222225
Alder Springs,CALD,1994,2022,4300,39.65138888888889,-122.72361111111113
Los Altos,CALT,1998,2022,645,37.35805555555556,-122.14722222222224
Atlas Peak,CATL,2005,2022,1934,38.47472222222223,-122.26472222222222
Bald Mtn Loc,CBAL,1989,2022,4680,38.90555555555555,-120.69722222222222
Barnaby,CBAR,1997,2022,1240,38.028055555555554,-122.70222222222222
Batterson,CBAT,1999,2022,3160,37.23194444444445,-119.50833333333334
Benton,CBEN,1994,2022,5450,37.84305555555556,-118.47777777777776
Bangor,CBGR,1990,2022,803,39.3975,-121.38611111111112
Big Rock,CBIR,2003,2022,1500,38.03944444444444,-122.57
Black Diamond,CBKD,1994,2022,1600,37.95,-121.88444444444444
Ben Bolt,CBLT,1990,2022,905,38.590833333333336,-120.93361111111112
Blue Mountain Lookout,CBML,2016,2022,-9999,-9999.0,-9999.0
Bald Mountain PAL,CBMP,2008,2009,5670,38.13861111111111,-120.09194444444444
Ben Lomond,CBNL,1998,2022,2630,37.13166666666667,-122.17
Banner Road,CBNR,2014,2022,2803,38.28444444444444,-120.48972222222224
Boonville,CBOO,1990,2022,644,38.9875,-123.34861111111113
Bridgeport 4NW,CBR4,2002,2022,6650,38.27194444444444,-119.28916666666666
Bridgeport,CBRD,2002,2006,6480,38.27194444444444,-119.28916666666666
Briones,CBRI,1994,2022,1450,37.94416666666666,-122.11777777777776
Baron,CBRN,2011,2022,6248,38.85416666666667,-120.02416666666666
Brooks,CBRO,1990,2022,354,38.73833333333334,-122.14472222222224
Buck Meadows,CBUC,1999,2012,3200,37.82333333333334,-120.0975
Beaver Camp Loc,CBVR,1992,2022,5000,38.48833333333334,-120.325
Catheys Valley,CCAT,1999,2022,1200,37.46805555555556,-120.11055555555556
Coast Dairies,CCDA,2021,2022,-9999,-9999.0,-9999.0
Cordoza Ridge,CCDZ,2011,2022,2331,37.16833333333333,-121.52833333333334
CFA Raws,CCFA,2012,2022,660,38.38,-120.9302777777778
Chalks,CCHA,1992,1998,1585,37.16083333333333,-122.3
Chico,CCHC,1990,2014,230,39.71194444444445,-121.77888888888889
Challenge,CCHL,-9999,-9999,2557,39.48333333333333,-121.225
Clover,CCLO,1997,2001,5760,39.86944444444445,-120.38194444444444
Calaveras Road,CCLV,1997,2022,1230,37.55305555555555,-121.84388888888888
Camanche,CCMN,2002,2004,368,38.23111111111111,-121.0111111111111
County Line,CCOU,1994,2022,2085,39.01888888888889,-122.41194444444444
Cow Mountain,CCOW,1995,1995,2180,39.187777777777775,-123.11944444444444
Crane Flat Lookout,CCRA,1991,2022,6644,37.76166666666666,-119.82472222222222
Crestview,CCRE,1993,2022,7600,37.745,-118.98333333333332
Campo Seco,CCSC,2004,2022,399,38.22361111111111,-120.86638888888888
Cow Mountain (A),CCWM,1985,1988,-9999,-9999.0,-9999.0
Double Dome (Class III-9C),CDBD,2009,2010,-9999,-9999.0,-9999.0
Dexter,CDEX,2009,2022,7982,37.83888888888889,-118.77166666666666
Diablo Grande,CDIA,1998,2022,1850,37.32916666666667,-121.29388888888889
D L Bliss S P,CDLB,2006,2009,6942,38.967777777777776,-120.1
Dinkey,CDNK,2000,2022,5668,37.06638888888889,-119.03944444444444
Dog Valley,CDOG,2001,2022,5976,39.56194444444444,-120.04777777777778
Dorris Ranch,CDOR,1990,2002,2025,39.30361111111111,-121.1172222222222
Devils Post Pile,CDPP,1993,2004,7560,37.63,-119.09333333333332
Duncan,CDUN,2001,2022,7100,39.14388888888889,-120.50888888888888
Eel River,CEEL,1992,2022,1500,39.833333333333336,-123.08333333333331
Mount Elizabeth,CELI,1999,2022,4933,38.06305555555555,-120.24694444444444
El Portal,CELP,2004,2022,2050,37.67555555555556,-119.78611111111113
Esperanza,CESP,1990,2014,2559,38.24277777777778,-120.515
Foresthill,CFOR,2000,2022,4355,39.09138888888889,-120.73166666666668
Fish Slough,CFSL,1999,2005,4500,37.47833333333333,-118.40777777777778
Golden Gate NRA #1,CGG1,1995,1999,-9999,-9999.0,-9999.0
Goat Mtn. Lookout (P),CGML,1999,1999,-9999,-9999.0,-9999.0
Green Spring,CGSP,1990,2022,1020,37.83305555555556,-120.5
Grizzly Flat,CGZF,2003,2010,3740,38.61972222222222,-120.56138888888889
Hawkeye,CHAW,1993,2022,2000,38.781666666666666,-122.91694444444444
Hell Hole,CHEL,1989,2022,5240,39.07166666666667,-120.42166666666668
High Glade Lookout,CHGL,1997,2022,4840,39.208333333333336,-122.80833333333334
High Sierra,CHIG,2001,2022,7403,37.31472222222222,-119.03833333333333
Hopland,CHLD,2001,2022,2682,39.03083333333333,-123.08055555555556
Homewood,CHOM,2010,2022,7121,39.08361111111111,-120.17111111111112
Hurley,CHUR,1995,2022,1201,37.015277777777776,-119.56777777777778
Jarbo Gap,CJAR,2003,2022,2490,39.73583333333333,-121.4888888888889
Jerseydale,CJER,2002,2022,3900,37.54361111111111,-119.8386111111111
Jordan Creek,CJOR,1995,2002,4400,39.78333333333333,-121.36666666666666
Knoxville Creek,CKNO,1985,2022,2200,38.86194444444445,-122.41722222222222
Konocti,CKON,1995,2022,2163,38.91194444444445,-122.7063888888889
Sugarloaf (ENF),CKYB,2004,2022,5653,38.78388888888889,-120.31083333333332
Los Banos,CLAB,1990,2022,350,37.05472222222222,-121.05305555555556
La Honda,CLAH,1990,2022,872,37.305277777777775,-122.255
Laytonville,CLAY,2001,2022,1820,39.70222222222223,-123.485
Lundylk,CLDK,2007,2022,7055,38.03805555555555,-119.17
Livermore F.D.,CLFD,2011,2016,314,37.6925,-121.9225
Los Gatos,CLGA,1997,2022,2000,37.20277777777778,-121.94277777777778
Lincoln,CLIN,1991,2022,200,38.8825,-121.26833333333332
Los Vaqueros,CLVQ,2004,2022,-9999,-9999.0,-9999.0
Livermore,CLVR,1990,2007,800,37.71194444444445,-121.81361111111111
Lyons Valley,CLYO,1988,2022,3200,39.12583333333333,-123.0736111111111
Mariposa Grove,CMAR,1988,2012,6400,37.51277777777778,-119.60472222222222
McGuires,CMCG,1990,2022,593,39.35277777777778,-123.60111111111112
Mendocino Pass,CMEN,2000,2022,5420,39.8075,-122.945
Merced River,CMER,1991,1997,2600,37.65277777777778,-120.08833333333332
Metcalf Gap,CMET,1990,2022,3077,37.409444444444446,-119.76805555555556
Meyers,CMEY,1998,2013,6310,38.848888888888894,-120.01805555555556
Miami,CMIA,2004,2022,4334,37.41916666666666,-119.74527777777776
Mallory Ridge,CMLR,1998,2022,2040,37.81722222222223,-121.77888888888889
Minarets,CMNR,2004,2022,5340,37.407222222222224,-119.34555555555556
Mohawk,CMOH,2013,2022,5122,39.77944444444445,-120.59472222222222
Mono Lake - Portable,CMON,1995,1995,-9999,-9999.0,-9999.0
Mountain Rest,CMOU,1999,2022,4100,37.05444444444444,-119.3711111111111
Middle Peak,CMPK,2004,2022,2490,37.93083333333333,-122.59083333333332
Markleeville,CMRK,1998,2022,5501,38.68333333333333,-119.76666666666668
Mariposa,CMSA,1990,2022,2231,37.50416666666667,-119.98694444444445
Mt. Diablo,CMTD,2000,2013,3849,37.88166666666667,-121.91416666666667
Mount Zion,CMTZ,1990,2022,2960,38.38944444444444,-120.65111111111112
North Fork Portable,CNFK,-9999,-9999,-9999,-9999.0,-9999.0
North Fork,CNFO,1998,2022,2720,37.23305555555556,-119.50472222222224
Novato Fire - Robinhood,CNVF,2016,2022,-9999,-9999.0,-9999.0
Oak Ridge,COAR,2016,2022,-9999,-9999.0,-9999.0
Oakland North,COKN,1992,2022,1403,37.865,-122.22083333333332
Oakland South,COKS,1992,2022,1095,37.78611111111111,-122.14472222222224
Olema Valley,COLV,2004,2022,37,38.0425,-122.79583333333332
Openshaw,COPS,2014,2022,268,39.58972222222222,-121.6352777777778
Orestimba,CORE,2021,2022,-9999,-9999.0,-9999.0
Owens Camp Loc,COWE,1989,2022,5240,38.73333333333333,-120.245
Owens Valley,COWV,1992,2022,4640,37.39,-118.55055555555556
Pike County Lookout,CPIK,1985,2022,3714,39.475,-121.2025
Pilot Hill,CPIL,1993,2022,1200,38.8325,-121.00861111111112
Pinecrest 2,CPNC,2011,2022,5700,38.18611111111111,-120.01055555555556
Poverty,CPOV,1998,2022,2066,37.44305555555555,-121.77055555555556
Pulgas,CPUL,1997,2022,644,37.475,-122.29805555555556
Reader Ranch,CRDR,2002,2022,1968,39.30361111111111,-121.1172222222222
Rice Canyon,CRIA,2012,2022,6950,39.525,-120.3286111111111
Russian Ridge (CDF#3),CRR3,2007,2007,2256,37.32916666666667,-122.21416666666669
Rose Peak,CRSP,1995,2022,3060,37.50194444444445,-121.73555555555556
Sacramento NWR,CSAC,2001,2022,120,39.41722222222222,-122.1825
Soda Creek,CSDC,1992,2022,1773,39.425,-122.97722222222222
Saddleback,CSDD,2001,2022,6670,39.6375,-120.86527777777778
Secret Town,CSEC,1992,2022,2826,39.18361111111111,-120.88472222222222
Seed Orchard,CSEE,1986,1991,4100,39.083333333333336,-120.73333333333332
Sugarloaf (5-C),CSG5,2004,2004,-9999,-9999.0,-9999.0
Shaver,CSHA,1995,2022,5746,37.135,-119.25611111111112
San Jose,CSJO,2008,2022,675,37.39833333333333,-121.80694444444444
San Luis Obispo,CSLO,2019,2022,-9999,-9999.0,-9999.0
Canon BAER (Shingle),CSMF,2002,2005,-9999,-9999.0,-9999.0
San Luis NWR,CSNL,2002,2022,65,37.18222222222222,-120.79388888888889
Smith Peak,CSPK,2012,2022,3870,37.80055555555556,-120.10083333333333
Sacramento NWR QD,CSQD,2004,2022,95,39.44611111111111,-122.18388888888887
Santa Rosa,CSRS,1991,2022,576,38.47861111111112,-122.71194444444444
San Simeon,CSSM,2015,2022,-9999,-9999.0,-9999.0
STF02 Portable,CST2,2003,2010,-9999,-9999.0,-9999.0
Stampede,CSTA,1991,2022,6867,39.48333333333333,-120.075
Steely Fork,CSTF,2010,2022,4006,38.62611111111112,-120.52777777777776
Stonyford,CSTO,1994,2022,1200,39.36694444444444,-122.575
Cottage,CSTS,2007,2022,6058,38.34611111111112,-120.22916666666669
Summit Camp,CSUM,1989,1991,3600,38.49,-120.28833333333333
Spring Valley,CSVA,1998,2022,1075,37.5625,-122.4363888888889
Sweetwater,CSWE,1994,1998,2150,37.39666666666667,-121.485
Tahoe Donner,CTDN,2016,2022,-9999,-9999.0,-9999.0
Thomes Creek,CTHO,1990,2022,1040,39.864444444444445,-122.60972222222222
Las Trampas,CTRA,1994,2022,-9999,-9999.0,-9999.0
Trench 1,CTRE,1998,2002,6800,38.16138888888889,-118.91111111111113
Truckee Airport,CTRU,1987,1990,5890,39.31666666666667,-120.13333333333334
Gaylor Meadow,CTUO,1988,2011,9270,37.86833333333333,-119.31833333333331
